SegID_data_1min,SegID_data_5min,SegID_data_15min,SegID_data_60min
166360045,166379619.0,166379619.0,166360045
166360253,166379706.0,166379706.0,166360253
166360288,166379720.0,166379720.0,166360288
166360289,166380131.0,166380131.0,166360289
166360829,166381387.0,166381387.0,166360829
166362954,166384594.0,166384594.0,166362954
166365260,166384640.0,166384640.0,166365260
166365264,166384917.0,166384917.0,166365264
166365457,166385316.0,166385316.0,166365457
166366239,166385350.0,166385350.0,166366239
166366258,166385758.0,166385758.0,166366258
166367934,166385838.0,166385838.0,166367934
166368954,166386131.0,166386131.0,166368954
166368981,166386213.0,166386213.0,166368981
166369522,166387028.0,166387028.0,166369522
166370797,166387037.0,166387037.0,166370797
166370876,166387300.0,166387300.0,166370876
166371402,166388091.0,166388091.0,166371402
166371854,166388182.0,166388182.0,166371854
166372348,166388185.0,166388185.0,166372348
166372844,166388265.0,166388265.0,166372844
166372870,166389818.0,166389818.0,166372870
166374476,166389819.0,166389819.0,166374476
166374623,166389955.0,166389955.0,166374623
166374628,166390434.0,166390434.0,166374628
166374629,166390629.0,166390629.0,166374629
166374653,166390721.0,166390721.0,166374653
166374660,166390743.0,166390743.0,166374660
166374844,166391387.0,166391387.0,166374844
166376321,166393327.0,166393327.0,166376321
166376781,166394070.0,166394070.0,166376781
166378739,166394135.0,166394135.0,166378739
166379619,166394819.0,166394819.0,166379619
166379706,166396530.0,166396530.0,166379706
166379720,166396675.0,166396675.0,166379720
166379937,166397511.0,166397511.0,166379937
166380131,166397512.0,166397512.0,166380131
166380862,166397675.0,166397675.0,166380862
166381387,166399800.0,166399800.0,166381387
166384122,166400244.0,166400244.0,166384122
166384594,166401482.0,166401482.0,166384594
166384640,166401551.0,166401551.0,166384640
166384880,166401846.0,166401846.0,166384880
166384917,166401878.0,166401878.0,166384917
166385316,166402140.0,166402140.0,166385316
166385350,166403955.0,166403955.0,166385350
166385758,166403987.0,166403987.0,166385758
166385838,166405731.0,166405731.0,166385838
166386131,166406098.0,166406098.0,166386131
166386213,166410319.0,166410319.0,166386213
166387028,166411569.0,166411569.0,166387028
166387037,166411811.0,166411811.0,166387037
166387300,166412715.0,166412715.0,166387300
166388091,166413228.0,166413228.0,166388091
166388182,166413247.0,166413247.0,166388182
166388185,166413316.0,166413316.0,166388185
166388265,166413500.0,166413500.0,166388265
166389423,166414438.0,166414438.0,166389423
166389818,166415894.0,166415894.0,166389818
166389819,166416901.0,166416901.0,166389819
166389955,166418314.0,166418314.0,166389955
166390434,166418364.0,166418364.0,166390434
166390629,166418387.0,166418387.0,166390629
166390721,166420551.0,166420551.0,166390721
166390743,166421346.0,166421346.0,166390743
166391387,166421360.0,166421360.0,166391387
166393327,166423238.0,166423238.0,166393327
166394070,166423274.0,166423274.0,166394070
166394135,166424780.0,166424780.0,166394135
166394819,166425503.0,166425503.0,166394819
166396530,166426977.0,166426977.0,166396530
166396675,166427079.0,166427079.0,166396675
166397511,166427441.0,166427441.0,166397511
166397512,166427621.0,166427621.0,166397512
166397675,166429759.0,166429759.0,166397675
166399800,166431106.0,166431106.0,166399800
166400244,166431131.0,166431131.0,166400244
166401482,166431284.0,166431284.0,166401482
166401551,166431926.0,166431926.0,166401551
166401846,166432052.0,166432052.0,166401846
166401878,166432784.0,166432784.0,166401878
166402140,166432917.0,166432917.0,166402140
166403955,166437195.0,166437195.0,166403955
166403987,166437255.0,166437255.0,166403987
166405731,166437717.0,166437717.0,166405731
166406098,166437719.0,166437719.0,166406098
166410319,166439586.0,166439586.0,166410319
166411569,166440635.0,166440635.0,166411569
166411811,166443769.0,166443769.0,166411811
166412715,166445695.0,166445695.0,166412715
166413228,166445759.0,166445759.0,166413228
166413247,166445943.0,166445943.0,166413247
166413316,166447845.0,166447845.0,166413316
166413500,166448338.0,166448338.0,166413500
166414438,166448409.0,166448409.0,166414438
166414761,166450518.0,166450518.0,166414761
166415894,166452014.0,166452014.0,166415894
166416901,166453193.0,166453193.0,166416901
166418314,166453775.0,166453775.0,166418314
166418364,166454020.0,166454020.0,166418364
166418387,166454500.0,166454500.0,166418387
166420551,166455127.0,166455127.0,166420551
166421346,166456393.0,166456393.0,166421346
166421360,166456460.0,166456460.0,166421360
166423238,166457756.0,166457756.0,166423238
166423274,166457786.0,166457786.0,166423274
166424780,166458981.0,166458981.0,166424780
166425503,166459072.0,166459072.0,166425503
166426977,166459419.0,166459419.0,166426977
166427079,166459421.0,166459421.0,166427079
166427441,166459505.0,166459505.0,166427441
166427621,166461459.0,166461459.0,166427621
166429243,166462558.0,166462558.0,166429243
166429759,166462674.0,166462674.0,166429759
166430992,166462675.0,166462675.0,166430992
166431106,166466626.0,166466626.0,166431106
166431131,166466758.0,166466758.0,166431131
166431284,166466869.0,166466869.0,166431284
166431926,166467013.0,166467013.0,166431926
166432052,166468099.0,166468099.0,166432052
166432784,166470833.0,166470833.0,166432784
166432917,166471331.0,166471331.0,166432917
166433109,166471878.0,166471878.0,166433109
166435603,166472877.0,166472877.0,166435603
166437195,166472878.0,166472878.0,166437195
166437255,166475366.0,166475366.0,166437255
166437717,166476066.0,166476066.0,166437717
166437719,166476067.0,166476067.0,166437719
166439586,166476163.0,166476163.0,166439586
166440635,166476982.0,166476982.0,166440635
166443769,166477320.0,166477320.0,166443769
166444457,166477777.0,166477777.0,166444457
166445695,166478081.0,166478081.0,166445695
166445759,166479748.0,166479748.0,166445759
166445943,166479756.0,166479756.0,166445943
166447845,166480237.0,166480237.0,166447845
166448338,166481348.0,166481348.0,166448338
166448409,166482990.0,166482990.0,166448409
166450518,166483124.0,166483124.0,166450518
166452014,166483139.0,166483139.0,166452014
166453193,166486051.0,166486051.0,166453193
166453775,166486055.0,166486055.0,166453775
166454020,166486056.0,166486056.0,166454020
166454084,166486112.0,166486112.0,166454084
166454500,166486407.0,166486407.0,166454500
166455127,166489431.0,166489431.0,166455127
166456393,166489992.0,166489992.0,166456393
166456460,166490792.0,166490792.0,166456460
166457578,166490933.0,166490933.0,166457578
166457756,166493672.0,166493672.0,166457756
166457786,166496250.0,166496250.0,166457786
166458981,166496358.0,166496358.0,166458981
166459072,166496717.0,166496717.0,166459072
166459419,166497120.0,166497120.0,166459419
166459421,166497186.0,166497186.0,166459421
166459505,166497468.0,166497468.0,166459505
166461459,166497601.0,166497601.0,166461459
166462558,166497960.0,166497960.0,166462558
166462667,166497961.0,166497961.0,166462667
166462674,166497991.0,166497991.0,166462674
166462675,166502389.0,166502389.0,166462675
166466626,166502390.0,166502390.0,166466626
166466758,166502455.0,166502455.0,166466758
166466869,166502468.0,166502468.0,166466869
166467013,166502847.0,166502847.0,166467013
166468099,166502850.0,166502850.0,166468099
166470833,166503454.0,166503454.0,166470833
166471331,166503468.0,166503468.0,166471331
166471878,166503583.0,166503583.0,166471878
166472877,166503978.0,166503978.0,166472877
166472878,166505127.0,166505127.0,166472878
166475366,166506212.0,166506212.0,166475366
166476066,166509252.0,166509252.0,166476066
166476067,166510348.0,166510348.0,166476067
166476163,166510409.0,166510409.0,166476163
166476982,166512944.0,166512944.0,166476982
166477320,166513319.0,166513319.0,166477320
166477777,166515025.0,166515025.0,166477777
166478081,166516623.0,166516623.0,166478081
166479748,166518225.0,166518225.0,166479748
166479756,166518325.0,166518325.0,166479756
166480237,166520317.0,166520317.0,166480237
166481348,166520466.0,166520466.0,166481348
166482990,166521388.0,166521388.0,166482990
166483124,166522272.0,166522272.0,166483124
166483139,166523086.0,166523086.0,166483139
166486051,166524122.0,166524122.0,166486051
166486055,166524501.0,166524501.0,166486055
166486056,166524583.0,166524583.0,166486056
166486112,166525277.0,166525277.0,166486112
166486407,166526555.0,166526555.0,166486407
166489431,166528502.0,166528502.0,166489431
166489992,166528592.0,166528592.0,166489992
166490792,166528738.0,166528738.0,166490792
166490933,166530567.0,166530567.0,166490933
166493672,166530568.0,166530568.0,166493672
166496250,166530719.0,166530719.0,166496250
166496358,166532428.0,166532428.0,166496358
166496717,166533668.0,166533668.0,166496717
166497120,166534728.0,166534728.0,166497120
166497186,166536925.0,166536925.0,166497186
166497468,166537004.0,166537004.0,166497468
166497601,166538514.0,166538514.0,166497601
166497960,166538541.0,166538541.0,166497960
166497961,166538911.0,166538911.0,166497961
166497991,166539337.0,166539337.0,166497991
166502389,166542125.0,166542125.0,166502389
166502390,166542865.0,166542865.0,166502390
166502455,166544081.0,166544081.0,166502455
166502468,166546137.0,166546137.0,166502468
166502847,166547528.0,166547528.0,166502847
166502850,166547586.0,166547586.0,166502850
166503454,166548960.0,166548960.0,166503454
166503468,166549647.0,166549647.0,166503468
166503583,166549648.0,166549648.0,166503583
166503978,166555524.0,166555524.0,166503978
166505127,166555549.0,166555549.0,166505127
166506212,166556546.0,166556546.0,166506212
166508185,166556800.0,166556800.0,166508185
166509252,166557892.0,166557892.0,166509252
166510348,166559309.0,166559309.0,166510348
166510409,166559640.0,166559640.0,166510409
166510736,166561312.0,166561312.0,166510736
166511606,166561634.0,166561634.0,166511606
166512944,166561647.0,166561647.0,166512944
166513319,166562076.0,166562076.0,166513319
166515025,166563724.0,166563724.0,166515025
166516623,166564817.0,166564817.0,166516623
166518225,166564818.0,166564818.0,166518225
166518325,166565249.0,166565249.0,166518325
166520317,166567365.0,166567365.0,166520317
166520466,166568736.0,166568736.0,166520466
166521388,166568778.0,166568778.0,166521388
166522272,166570359.0,166570359.0,166522272
166523086,166570415.0,166570415.0,166523086
166524122,166570445.0,166570445.0,166524122
166524501,166573073.0,166573073.0,166524501
166524583,166573082.0,166573082.0,166524583
166525277,166573084.0,166573084.0,166525277
166526555,166573772.0,166573772.0,166526555
166528502,166573862.0,166573862.0,166528502
166528592,166575419.0,166575419.0,166528592
166528738,166575575.0,166575575.0,166528738
166530567,166575795.0,166575795.0,166530567
166530568,166575996.0,166575996.0,166530568
166530719,166576000.0,166576000.0,166530719
166532428,166576264.0,166576264.0,166532428
166533668,166577376.0,166577376.0,166533668
166534728,166577765.0,166577765.0,166534728
166536925,166578345.0,166578345.0,166536925
166537004,166578849.0,166578849.0,166537004
166538514,166578993.0,166578993.0,166538514
166538541,166580212.0,166580212.0,166538541
166538911,166580282.0,166580282.0,166538911
